"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"3/15/2024 7:00:00 AM - 8:00:00 AM","45366.0416666667","28 MB","29006433.8010","0.06 Mbit/s","8058.0142","23 MB","23927235.6363","0.05 Mbit/s","6647.0083","4.84 MB","5079198.1647","0.01 Mbit/s","1411.0060","0 %","0.0000","100 %","0000009999"
"3/15/2024 8:00:00 AM - 9:00:00 AM","45366.0833333333","95 MB","99792418.4678","0.22 Mbit/s","27722.6575","86 MB","90159170.9291","0.20 Mbit/s","25046.5101","9.19 MB","9633247.5386","0.02 Mbit/s","2676.1474","0 %","0.0000","100 %","0000009999"
"3/15/2024 9:00:00 AM - 10:00:00 AM","45366.1250000000","9.25 MB","9699721.5901","0.02 Mbit/s","2694.5767","7.03 MB","7366419.8065","0.02 Mbit/s","2046.3869","2.23 MB","2333301.7836","","648.1898","0 %","0.0000","100 %","0000009999"
"3/15/2024 10:00:00 AM - 11:00:00 AM","45366.1666666667","566 MB","593794578.7297","1.32 Mbit/s","164957.1432","517 MB","542368667.7800","1.21 Mbit/s","150670.9377","49 MB","51425910.9497","0.11 Mbit/s","14286.2055","0 %","0.0000","100 %","0000009999"
"3/15/2024 11:00:00 AM - 12:00:00 PM","45366.2083333333","954 MB","1000794152.5420","2.22 Mbit/s","278019.2271","925 MB","969540016.1130","2.15 Mbit/s","269336.8714","30 MB","31254136.4290","0.07 Mbit/s","8682.3557","0 %","0.0000","100 %","0000009999"
"3/15/2024 12:00:00 PM - 1:00:00 PM","45366.2500000000","807 MB","846303622.3221","1.88 Mbit/s","235105.2378","784 MB","821741265.6857","1.83 Mbit/s","228281.7544","23 MB","24562356.6364","0.05 Mbit/s","6823.4834","0 %","0.0000","100 %","0000009999"
"3/15/2024 1:00:00 PM - 2:00:00 PM","45366.2916666667","5,215 MB","5468770078.2719","12 Mbit/s","1519204.0798","5,179 MB","5430734343.5458","12 Mbit/s","1508637.8935","36 MB","38035734.7261","0.08 Mbit/s","10566.1863","0 %","0.0000","100 %","0000009999"
"3/15/2024 2:00:00 PM - 3:00:00 PM","45366.3333333333","856 MB","897958199.8574","2 Mbit/s","249450.8492","826 MB","866305589.3243","1.93 Mbit/s","240657.8223","30 MB","31652610.5331","0.07 Mbit/s","8793.0269","0 %","0.0000","100 %","0000009999"
"3/15/2024 3:00:00 PM - 4:00:00 PM","45366.3750000000","601 MB","630431785.7596","1.40 Mbit/s","175132.1024","571 MB","598467500.8722","1.33 Mbit/s","166252.5178","30 MB","31964284.8874","0.07 Mbit/s","8879.5847","0 %","0.0000","100 %","0000009999"
"3/15/2024 4:00:00 PM - 5:00:00 PM","45366.4166666667","444 MB","465334908.2095","1.03 Mbit/s","129269.3919","427 MB","447350910.0355","0.99 Mbit/s","124273.4622","17 MB","17983998.1740","0.04 Mbit/s","4995.9297","0 %","0.0000","100 %","0000009999"
"3/15/2024 5:00:00 PM - 6:00:00 PM","45366.4583333333","237 MB","248088141.2583","0.55 Mbit/s","68918.9244","222 MB","233269995.9298","0.52 Mbit/s","64802.4413","14 MB","14818145.3285","0.03 Mbit/s","4116.4831","0 %","0.0000","100 %","0000009999"
"3/15/2024 6:00:00 PM - 7:00:00 PM","45366.5000000000","10 MB","10626959.1422","0.02 Mbit/s","2952.1545","8.03 MB","8419002.3709","0.02 Mbit/s","2338.7872","2.11 MB","2207956.7713","","613.3673","0 %","0.0000","100 %","0000009999"
"3/15/2024 7:00:00 PM - 8:00:00 PM","45366.5416666667","9.90 MB","10376488.2321","0.02 Mbit/s","2882.5820","7.57 MB","7937499.8317","0.02 Mbit/s","2205.0326","2.33 MB","2438988.4004","","677.5495","0 %","0.0000","100 %","0000009999"
"3/15/2024 8:00:00 PM - 9:00:00 PM","45366.5833333333","295 MB","309379848.7469","0.69 Mbit/s","85945.7703","280 MB","293273685.1161","0.65 Mbit/s","81471.4755","15 MB","16106163.6308","0.04 Mbit/s","4474.2948","0 %","0.0000","100 %","0000009999"
"3/15/2024 9:00:00 PM - 10:00:00 PM","45366.6250000000","335 MB","351741972.7945","0.78 Mbit/s","97712.8892","298 MB","312692179.9326","0.69 Mbit/s","86864.9712","37 MB","39049792.8619","0.09 Mbit/s","10847.9180","0 %","0.0000","100 %","0000009999"
